"",ftdock,zdock,Sdock,x,y,z,cases
1,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,0,0,0,14
2,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,0,0,1,15
3,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,0,0,2,16
4,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,0,0,3,16
5,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,0,0,4,15
6,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,0,1,0,16
7,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,0,1,1,15
8,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,0,1,2,14
9,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,0,1,3,16
10,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,0,1,4,15
11,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,0,2,0,13
12,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,0,2,1,12
13,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,0,2,2,15
14,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,0,2,3,15
15,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,0,2,4,16
16,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,0,3,0,14
17,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,0,3,1,13
18,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,0,3,2,14
19,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,0,3,3,16
20,combo_CP_SKOa_PYDOCK_TOT,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,0,3,4,15
21,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_CP_TB,combo_SDOCK_AP_MPS,0,4,0,17
22,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,0,4,1,16
23,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,0,4,2,19
24,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,0,4,3,17
25,combo_CP_SKOa_PYDOCK_TOT,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_AP_MPS,0,4,4,18
26,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,1,0,0,15
27,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,1,0,1,16
28,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,1,0,2,17
29,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,1,0,3,15
30,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,1,0,4,14
31,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,1,1,0,15
32,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,1,1,1,16
33,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,1,1,2,15
34,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,1,1,3,15
35,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,1,1,4,14
36,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,1,2,0,12
37,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,1,2,1,15
38,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,1,2,2,14
39,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,1,2,3,16
40,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,1,2,4,13
41,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,1,3,0,13
42,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,1,3,1,14
43,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,1,3,2,15
44,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,1,3,3,15
45,combo_CP_SJKG_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,1,3,4,14
46,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_SDOCK_AP_MPS,1,4,0,16
47,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,1,4,1,19
48,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,1,4,2,18
49,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,1,4,3,18
50,combo_CP_SJKG_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_AP_MPS,1,4,4,15
51,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,2,0,0,16
52,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,2,0,1,17
53,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,2,0,2,14
54,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,2,0,3,14
55,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,2,0,4,15
56,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,2,1,0,14
57,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,2,1,1,15
58,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,2,1,2,12
59,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,2,1,3,14
60,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,2,1,4,15
61,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,2,2,0,15
62,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,2,2,1,14
63,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,2,2,2,13
64,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,2,2,3,13
65,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,2,2,4,16
66,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,2,3,0,14
67,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,2,3,1,15
68,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,2,3,2,14
69,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,2,3,3,16
70,combo_CP_BFKV_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,2,3,4,13
71,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_SDOCK_AP_MPS,2,4,0,19
72,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,2,4,1,18
73,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,2,4,2,17
74,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,2,4,3,15
75,combo_CP_BFKV_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_AP_MPS,2,4,4,18
76,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,3,0,0,16
77,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,3,0,1,15
78,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,3,0,2,14
79,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,3,0,3,15
80,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,3,0,4,18
81,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,3,1,0,16
82,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,3,1,1,15
83,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,3,1,2,14
84,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,3,1,3,15
85,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,3,1,4,18
86,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,3,2,0,15
87,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,3,2,1,16
88,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,3,2,2,13
89,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,3,2,3,16
90,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,3,2,4,17
91,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,3,3,0,16
92,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,3,3,1,15
93,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,3,3,2,16
94,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,3,3,3,17
95,combo_CP_SKOa_AP_dDFIRE,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,3,3,4,16
96,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_SDOCK_AP_MPS,3,4,0,17
97,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,3,4,1,18
98,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,3,4,2,15
99,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,3,4,3,16
100,combo_CP_SKOa_AP_dDFIRE,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_AP_MPS,3,4,4,17
101,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_SDOCK_AP_MPS,4,0,0,15
102,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_AP_MPS_CP_RMFCEN1,4,0,1,14
103,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_PYDOCK_TOT_AP_MPS,4,0,2,15
104,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_CP_TB,4,0,3,18
105,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T1,combo_CP_E3D_MIN_AP_MPS,4,0,4,13
106,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_SDOCK_AP_MPS,4,1,0,15
107,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_AP_MPS_CP_RMFCEN1,4,1,1,14
108,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_PYDOCK_TOT_AP_MPS,4,1,2,15
109,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_CP_TB,4,1,3,18
110,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_PYDOCK_TOT,combo_CP_E3D_MIN_AP_MPS,4,1,4,13
111,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_SDOCK_AP_MPS,4,2,0,16
112,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_AP_MPS_CP_RMFCEN1,4,2,1,13
113,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_PYDOCK_TOT_AP_MPS,4,2,2,16
114,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_CP_TB,4,2,3,17
115,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_PISA,combo_CP_E3D_MIN_AP_MPS,4,2,4,12
116,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_SDOCK_AP_MPS,4,3,0,15
117,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_AP_MPS_CP_RMFCEN1,4,3,1,14
118,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_PYDOCK_TOT_AP_MPS,4,3,2,13
119,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_CP_TB,4,3,3,16
120,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_PYDOCK_TOT_AP_T2,combo_CP_E3D_MIN_AP_MPS,4,3,4,11
121,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_CP_TB,combo_SDOCK_AP_MPS,4,4,0,18
122,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_CP_TB,combo_AP_MPS_CP_RMFCEN1,4,4,1,15
123,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_CP_TB,combo_PYDOCK_TOT_AP_MPS,4,4,2,18
124,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_CP_TB,4,4,3,17
125,combo_PYDOCK_TOT_AP_DCOMPLEX,combo_CP_BFKV_CP_TB,combo_CP_E3D_MIN_AP_MPS,4,4,4,14
