"","ftdock","zdock","sdock","coor_x","coor_y","coor_z","cases"
"4","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_SDOCK_AP_MPS",0,0,3,21
"9","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_SDOCK_AP_MPS",0,1,3,21
"14","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_SDOCK_AP_MPS",0,2,3,21
"17","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_AP_MPS",0,3,1,21
"19","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_SDOCK_AP_MPS",0,3,3,21
"23","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_AP_MPS_CP_RMFCEN1",0,4,2,21
"24","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_SDOCK_AP_MPS",0,4,3,21
"25","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_PYDOCK_TOT_AP_MPS",0,4,4,21
"29","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_SDOCK_AP_MPS",1,0,3,21
"34","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_SDOCK_AP_MPS",1,1,3,21
"39","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_SDOCK_AP_MPS",1,2,3,21
"41","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",1,3,0,21
"42","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_AP_MPS",1,3,1,21
"44","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_SDOCK_AP_MPS",1,3,3,21
"48","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_AP_MPS_CP_RMFCEN1",1,4,2,21
"49","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_SDOCK_AP_MPS",1,4,3,21
"50","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_PYDOCK_TOT_AP_MPS",1,4,4,21
"54","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_SDOCK_AP_MPS",2,0,3,21
"59","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_SDOCK_AP_MPS",2,1,3,21
"64","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_SDOCK_AP_MPS",2,2,3,21
"69","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_SDOCK_AP_MPS",2,3,3,21
"71","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",2,4,0,21
"72","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",2,4,1,21
"73","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_CP_TB","combo_AP_MPS_CP_RMFCEN1",2,4,2,21
"74","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_CP_TB","combo_SDOCK_AP_MPS",2,4,3,21
"75","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_CP_TB","combo_PYDOCK_TOT_AP_MPS",2,4,4,21
"76","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",3,0,0,21
"77","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",3,0,1,21
"78","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",3,0,2,21
"79","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T1","combo_SDOCK_AP_MPS",3,0,3,21
"81","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",3,1,0,21
"82","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",3,1,1,21
"83","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",3,1,2,21
"84","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T2","combo_SDOCK_AP_MPS",3,1,3,21
"86","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",3,2,0,21
"87","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",3,2,1,21
"88","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",3,2,2,21
"89","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_PISA","combo_SDOCK_AP_MPS",3,2,3,21
"91","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",3,3,0,21
"92","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_AP_MPS",3,3,1,21
"93","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",3,3,2,21
"94","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_SDOCK_AP_MPS",3,3,3,21
"96","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",3,4,0,21
"97","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",3,4,1,21
"98","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_AP_MPS_CP_RMFCEN1",3,4,2,21
"99","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_SDOCK_AP_MPS",3,4,3,21
"100","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_CP_TB","combo_PYDOCK_TOT_AP_MPS",3,4,4,21
"121","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",4,4,0,21
"122","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",4,4,1,21
"123","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_AP_MPS_CP_RMFCEN1",4,4,2,21
"124","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_SDOCK_AP_MPS",4,4,3,21
"125","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_PYDOCK_TOT_AP_MPS",4,4,4,21
"2","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",0,0,1,22
"5","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",0,0,4,22
"20","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",0,3,4,22
"21","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",0,4,0,22
"22","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",0,4,1,22
"26","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",1,0,0,22
"27","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",1,0,1,22
"30","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",1,0,4,22
"45","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",1,3,4,22
"46","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_CP_TB",1,4,0,22
"47","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_CP_TB","combo_CP_E3D_MIN_AP_MPS",1,4,1,22
"55","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",2,0,4,22
"70","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",2,3,4,22
"80","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",3,0,4,22
"95","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",3,3,4,22
"101","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",4,0,0,22
"102","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",4,0,1,22
"103","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",4,0,2,22
"104","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_SDOCK_AP_MPS",4,0,3,22
"105","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_PYDOCK_TOT_AP_MPS",4,0,4,22
"116","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",4,3,0,22
"117","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_AP_MPS",4,3,1,22
"118","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",4,3,2,22
"119","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_SDOCK_AP_MPS",4,3,3,22
"120","combo_CP_SKOa_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_PYDOCK_TOT_AP_MPS",4,3,4,22
"1","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",0,0,0,23
"3","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",0,0,2,23
"7","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",0,1,1,23
"11","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",0,2,0,23
"12","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",0,2,1,23
"15","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",0,2,4,23
"16","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",0,3,0,23
"28","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",1,0,2,23
"31","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",1,1,0,23
"32","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",1,1,1,23
"36","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",1,2,0,23
"37","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",1,2,1,23
"40","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",1,2,4,23
"51","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_CP_TB",2,0,0,23
"52","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_CP_E3D_MIN_AP_MPS",2,0,1,23
"53","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T1","combo_AP_MPS_CP_RMFCEN1",2,0,2,23
"65","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",2,2,4,23
"90","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",3,2,4,23
"111","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",4,2,0,23
"112","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",4,2,1,23
"113","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",4,2,2,23
"114","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_SDOCK_AP_MPS",4,2,3,23
"115","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_PYDOCK_TOT_AP_MPS",4,2,4,23
"6","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",0,1,0,24
"10","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",0,1,4,24
"13","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",0,2,2,24
"18","combo_CP_SJKG_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",0,3,2,24
"35","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",1,1,4,24
"38","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",1,2,2,24
"43","combo_CP_BFKV_AP_dDFIRE","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",1,3,2,24
"60","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",2,1,4,24
"61","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_CP_TB",2,2,0,24
"62","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_CP_E3D_MIN_AP_MPS",2,2,1,24
"63","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_PISA","combo_AP_MPS_CP_RMFCEN1",2,2,2,24
"66","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_CP_TB",2,3,0,24
"67","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_CP_E3D_MIN_AP_MPS",2,3,1,24
"68","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",2,3,2,24
"85","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",3,1,4,24
"106","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",4,1,0,24
"107","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",4,1,1,24
"108","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",4,1,2,24
"109","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_SDOCK_AP_MPS",4,1,3,24
"110","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",4,1,4,24
"8","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",0,1,2,25
"33","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",1,1,2,25
"56","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",2,1,0,25
"57","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",2,1,1,25
"58","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",2,1,2,25
