pydock,,,,,,,,pydock,,,,,
,,,,,,,,,,,,,
"pdb,list,flexibility,1",=,,,,,,,"pdb,list,flexibility,1,BM5",=,,,,
,,,,,,,,,,,,,
AP_calRW,"0,0833333333","0,0357142857","0,0338983051",0,0,,,AP_calRW,0,"0,15","0,1052631579",0,0
AP_calRWp,"0,0416666667","0,0535714286","0,0677966102","0,0384615385",0,,,AP_calRWp,"0,1428571429",0,"0,0526315789","0,25",0
AP_DARS,"0,1666666667","0,1607142857","0,1016949153","0,0769230769","0,0909090909",,,AP_DARS,"0,1428571429","0,15","0,2105263158",0,0
AP_DCOMPLEX,"0,1666666667","0,1607142857","0,1016949153","0,0769230769",0,,,AP_DCOMPLEX,"0,2857142857","0,2","0,1052631579","0,25",0
AP_dDFIRE,"0,25","0,2321428571","0,1016949153","0,0384615385",0,,,AP_dDFIRE,"0,2857142857","0,15","0,2105263158","0,25",0
AP_DFIRE2,"0,1666666667","0,1964285714","0,1525423729","0,0384615385",0,,,AP_DFIRE2,"0,1428571429","0,25","0,0526315789","0,25",0
AP_DOPE,"0,125","0,125","0,0508474576","0,0384615385",0,,,AP_DOPE,"0,2857142857",0,"0,0526315789","0,25",0
AP_DOPE_HR,"0,0416666667",0,0,0,0,,,AP_DOPE_HR,"0,2857142857",0,"0,0526315789","0,25",0
AP_GOAP_ALL,0,"0,125","0,0847457627","0,0384615385","0,0909090909",,,AP_GOAP_ALL,0,"0,15",0,0,0
AP_GOAP_DF,"0,2083333333","0,2321428571","0,1525423729","0,0384615385",0,,,AP_GOAP_DF,"0,2857142857","0,25","0,0526315789","0,25",0
AP_GOAP_G,0,"0,0535714286","0,0677966102",0,0,,,AP_GOAP_G,0,"0,15",0,0,0
AP_MPS,"0,0416666667","0,0892857143","0,1016949153","0,0384615385",0,,,AP_MPS,"0,2857142857","0,05","0,1578947368","0,25",0
AP_PISA,"0,4166666667","0,2142857143","0,186440678","0,0769230769",0,,,AP_PISA,0,"0,35","0,1578947368","0,25",0
AP_T1,"0,2916666667","0,125","0,0847457627","0,0769230769",0,,,AP_T1,"0,2857142857","0,15",0,"0,25",0
AP_T2,"0,25","0,1964285714","0,1186440678","0,0769230769",0,,,AP_T2,"0,1428571429","0,2","0,0526315789","0,25",0
AP_URS,"0,1666666667","0,1428571429","0,0169491525","0,0384615385",0,,,AP_URS,0,"0,05",0,0,0
AP_WENG,"0,0416666667","0,0178571429","0,0169491525",0,0,,,AP_WENG,0,0,"0,0526315789",0,0
CP_BFKV,"0,0833333333","0,1428571429","0,1016949153","0,1538461538",0,,,CP_BFKV,"0,4285714286","0,4","0,2105263158","0,25",0
CP_BL,"0,0416666667","0,0178571429","0,0338983051",0,"0,0909090909",,,CP_BL,0,"0,1","0,1578947368",0,0
CP_BT,"0,1666666667","0,1607142857","0,1355932203","0,0769230769",0,,,CP_BT,"0,2857142857","0,35","0,0526315789","0,25",0
CP_DECK,"0,375","0,2142857143","0,186440678",0,0,,,CP_DECK,"0,1428571429","0,1","0,0526315789",0,0
CP_E3D_CB,"0,125","0,0892857143","0,0338983051","0,0384615385",0,,,CP_E3D_CB,0,0,"0,0526315789",0,0
CP_E3DC_CB,0,0,0,0,0,,,CP_E3DC_CB,0,0,0,0,0
CP_E3DC_MIN,"0,0416666667","0,0714285714","0,0169491525",0,0,,,CP_E3DC_MIN,"0,1428571429",0,0,0,0
CP_E3D_MIN,"0,0833333333","0,0892857143","0,0508474576","0,0384615385",0,,,CP_E3D_MIN,"0,1428571429","0,05","0,0526315789","0,25",0
CP_ELOCAL_CB,"0,125","0,0892857143","0,0338983051","0,0384615385",0,,,CP_ELOCAL_CB,0,0,"0,0526315789",0,0
CP_ELOCAL_MIN,"0,125","0,0714285714","0,0338983051",0,0,,,CP_ELOCAL_MIN,0,"0,05","0,0526315789","0,25",0
CP_EPAIR_CB,"0,0833333333","0,0357142857",0,0,0,,,CP_EPAIR_CB,0,0,0,0,0
CP_EPAIR_MIN,"0,0416666667","0,0357142857","0,0508474576",0,0,,,CP_EPAIR_MIN,0,0,0,0,0
CP_ES3DC_CB,"0,0416666667","0,0535714286",0,"0,0384615385",0,,,CP_ES3DC_CB,0,0,"0,0526315789",0,0
CP_ES3DC_MIN,"0,1666666667","0,1071428571","0,0847457627","0,0384615385",0,,,CP_ES3DC_MIN,"0,1428571429","0,15","0,1052631579",0,0
CP_GKS,"0,0416666667","0,0178571429",0,0,0,,,CP_GKS,0,0,0,0,0
CP_HLPL,"0,3333333333","0,1785714286","0,1186440678","0,1153846154","0,0909090909",,,CP_HLPL,"0,1428571429","0,4","0,2105263158",0,0
CP_MJ1,0,"0,0178571429",0,0,0,,,CP_MJ1,0,0,0,0,0
CP_MJ2,"0,0416666667","0,0178571429",0,0,0,,,CP_MJ2,0,"0,05","0,1052631579",0,0
CP_MJ2h,"0,25","0,1428571429","0,1186440678","0,0384615385","0,0909090909",,,CP_MJ2h,0,"0,1","0,1052631579",0,0
CP_MJ3h,"0,1666666667","0,1607142857","0,1355932203","0,1538461538","0,0909090909",,,CP_MJ3h,"0,1428571429","0,3","0,1578947368","0,25",0
CP_MJPL,"0,0833333333","0,0714285714","0,0508474576",0,"0,0909090909",,,CP_MJPL,"0,1428571429","0,05",0,"0,25",0
CP_MS,"0,0416666667","0,0178571429",0,0,0,,,CP_MS,0,"0,05",0,0,0
CP_MSBM,"0,0833333333","0,0535714286","0,0338983051",0,0,,,CP_MSBM,0,0,0,0,0
CP_Qa,"0,125","0,0892857143","0,0677966102","0,1538461538",0,,,CP_Qa,"0,1428571429",0,"0,0526315789",0,0
CP_Qm,"0,125","0,125","0,0847457627","0,1153846154",0,,,CP_Qm,"0,2857142857","0,1","0,1578947368",0,0
CP_Qp,"0,2916666667","0,1428571429","0,1186440678","0,0384615385","0,0909090909",,,CP_Qp,"0,1428571429","0,15","0,1578947368",0,0
CP_RMFCA,"0,25","0,1964285714","0,186440678","0,0769230769","0,0909090909",,,CP_RMFCA,"0,1428571429","0,15","0,0526315789","0,25",0
CP_RMFCEN1,"0,1666666667","0,2142857143","0,1186440678",0,0,,,CP_RMFCEN1,"0,1428571429","0,15","0,0526315789","0,25",0
CP_RMFCEN2,"0,0833333333","0,2142857143","0,0677966102","0,0384615385",0,,,CP_RMFCEN2,"0,1428571429","0,05","0,1052631579","0,25",0
CP_RO,"0,0416666667","0,0357142857","0,1016949153",0,0,,,CP_RO,0,0,0,0,0
CP_SJKG,"0,0833333333","0,0892857143","0,0677966102","0,0384615385",0,,,CP_SJKG,"0,2857142857","0,15","0,1578947368","0,25",0
CP_SKOa,"0,0833333333","0,0535714286","0,0847457627","0,0769230769",0,,,CP_SKOa,"0,2857142857","0,3","0,1578947368","0,25",0
CP_SKOb,"0,125","0,125","0,0677966102","0,1538461538",0,,,CP_SKOb,"0,2857142857","0,15","0,1578947368",0,0
CP_SKOIP,"0,0833333333","0,1428571429","0,1694915254","0,1538461538",0,,,CP_SKOIP,"0,1428571429","0,2","0,1052631579",0,"0,2"
CP_TB,"0,3333333333","0,2142857143","0,1016949153","0,1153846154","0,1818181818",,,CP_TB,"0,4285714286","0,4","0,1052631579",0,0
CP_TD,"0,125","0,1964285714","0,1016949153","0,0769230769","0,0909090909",,,CP_TD,"0,1428571429","0,25","0,2105263158",0,0
CP_TEl,"0,125","0,1071428571","0,1016949153","0,0769230769",0,,,CP_TEl,0,"0,25","0,1578947368","0,25",0
CP_TEs,0,"0,0714285714","0,0847457627","0,0384615385",0,,,CP_TEs,"0,1428571429","0,1","0,1052631579",0,0
CP_TS,"0,2083333333","0,0892857143","0,0677966102","0,0384615385",0,,,CP_TS,0,"0,1","0,1052631579","0,25",0
CP_TSC,"0,3333333333","0,2321428571","0,1355932203","0,1153846154",0,,,CP_TSC,0,"0,2","0,1578947368",0,0
CP_VD,"0,0833333333","0,0357142857","0,0169491525",0,0,,,CP_VD,0,"0,05","0,0526315789","0,25",0
CP_Z3DC_CB,0,0,0,"0,0384615385",0,,,CP_Z3DC_CB,0,0,0,0,0
CP_Z3DC_MIN,"0,0416666667",0,"0,0169491525",0,0,,,CP_Z3DC_MIN,0,0,0,"0,25",0
CP_ZLOCAL_CB,0,0,0,0,0,,,CP_ZLOCAL_CB,0,0,0,0,0
CP_ZLOCAL_MIN,0,0,"0,0508474576",0,0,,,CP_ZLOCAL_MIN,0,0,0,0,0
CP_ZPAIR_CB,0,"0,0178571429",0,0,0,,,CP_ZPAIR_CB,0,0,0,"0,25",0
CP_ZPAIR_MIN,0,0,0,0,0,,,CP_ZPAIR_MIN,0,0,0,0,0
CP_ZS3DC_CB,0,"0,0178571429",0,0,0,,,CP_ZS3DC_CB,0,0,0,0,0
CP_ZS3DC_MIN,"0,25","0,125","0,0847457627","0,0384615385",0,,,CP_ZS3DC_MIN,"0,1428571429","0,05","0,1578947368",0,0
DESOLV,"0,125","0,1428571429","0,0508474576","0,0384615385",0,,,DESOLV,0,0,0,0,0
ELE,"0,1666666667","0,0535714286","0,0508474576",0,0,,,ELE,0,"0,05",0,0,0
ODA,"0,25","0,125","0,1186440678","0,1153846154",0,,,ODA,0,0,0,0,0
PROPNSTS,"0,3333333333","0,1428571429","0,1355932203","0,1153846154","0,0909090909",,,PROPNSTS,0,0,"0,0526315789",0,0
PYDOCK_TOT,"0,4166666667","0,25","0,1016949153","0,0384615385",0,,,PYDOCK_TOT,"0,1428571429","0,4","0,1578947368",0,0
SIPPER,"0,3333333333","0,1785714286","0,1694915254","0,0769230769",0,,,SIPPER,0,0,"0,0526315789",0,0
VDW,"0,0416666667","0,0357142857","0,0508474576",0,0,,,VDW,0,0,0,0,0
